number,name,agency,category,billing,service_hours,geographic_scope,alternative_number,description
110,報案專線,內政部警政署,緊急報案,免付費,24小時,全國,各分局派出所市話號碼；聽語障簡訊報案專線：0911-511-110,受理刑事案件報案、交通事故處理、現行犯逮捕、危害公共秩序與緊急求助事件。
119,火警、救護與災害搶救專線,內政部消防署,緊急救難,免付費,24小時,全國,聽語障簡訊報案專線：0911-511-119,火災滅火救災、到院前緊急救護、水域救援、山域搜救及風災水災震災等複合性災害搶救。
112,全球行動電話緊急救難專線,內政部警政署/消防署,緊急救難,免付費,24小時,全球/全國,撥通後依語音提示按 0 轉接 110、按 9 轉接 119,國際標準行動電話緊急專線。在無 SIM 卡或所屬電信無訊號時只要有任一家基地台訊號即可撥打。
113,全國保護專線,衛生福利部,弱勢保護,免付費,24小時,全國,聽語障簡訊報案專線：113,家庭暴力、性侵害、性騷擾、兒童及少年虐待、老人與身心障礙者保護之諮詢、通報與轉介救援。
118,海巡報案服務專線,海洋委員會海巡署,緊急救難,免付費,24小時,全國沿海及專屬經濟海域,0800-084-011,海上與岸際各類走私偷渡、海難搜救、海洋污染防制通報、沿海違法情事檢舉與緊急求助。
165,反詐騙諮詢專線,內政部警政署刑事警察局,治安諮詢,市話市內計費/行動依個人資費,24小時,全國,(02)2765-2122；境外請撥：+886-2-2765-2122,各類電信詐騙、網路詐騙、假投資及不明可疑訊息諮詢查證、金融帳戶緊急圈存止扣、通報檢舉。
168,路況語音查詢專線,交通部公路局,交通路況,一般市話費率計費,24小時,全國,0800-231-035,省道與主要公路即時交通路況、施工封閉管制、天災路阻與替代道路語音自動查詢。
166,國語氣象語音播報專線,交通部中央氣象署,民生氣象,一般市話費率計費,24小時,全國,(02)2349-1234,提供各地最新天氣預報、颱風警報、地震速報、豪大雨特報等國語語音播報服務。
167,台語/客語氣象語音播報專線,交通部中央氣象署,民生氣象,一般市話費率計費,24小時,全國,(02)2349-1234,提供各地最新氣象預報、天然災害警特報之台語及客語語音播報服務。
104,市內電話查號台,電信業者 (中華電信),電信服務,付費服務,24小時,所在地縣市,105 (長途查號),查詢本縣市登記公開之公司商號、政府機關與個人市內電話號碼。
105,長途電話查號台,電信業者 (中華電信),電信服務,付費服務,24小時,全國跨縣市,104 (市內查號),查詢外縣市登記公開之機關行號、法人團體市內電話號碼。
106,英文查號台,電信業者 (中華電信),電信服務,付費服務,24小時,全國,105,提供在台外籍人士以英語查詢台灣各地機關機構之市內電話號碼。
108,市話障礙申告台,電信業者 (中華電信),電信服務,免付費,24小時,全國,0800-080-123,家用市話雜音、不通、線路故障申告與搶修安排。
